PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN,ANN_100m
WS50M,1984,55.5,-8.125,14.09,11.34,7.55,9.23,6.01,7.93,6.17,6.94,8.8,10.87,9.99,10.79,9.14,10.071412759112222
WS50M,1985,55.5,-8.125,8.47,12.81,10.34,9.73,6.58,7.73,8.31,9.66,8.94,8.66,10.01,11.6,9.4,10.35790808924014
WS50M,1986,55.5,-8.125,13.49,9.77,12.57,8.95,10.99,7.5,8.17,7.52,8.47,12.41,13.88,13.16,10.57,11.647137074815776
WS50M,1987,55.5,-8.125,9.38,8.2,10.55,8.02,8.52,7.02,8.02,7.37,10.81,9.3,10.46,11.05,9.06,9.983260349842093
WS50M,1988,55.5,-8.125,11.71,12.08,10.89,7.32,8.36,6.26,8.6,9.32,10.44,9.75,8.54,13.0,9.69,10.677460572844357
WS50M,1989,55.5,-8.125,14.64,15.11,12.32,7.92,8.0,7.31,6.82,10.28,8.7,10.9,9.16,9.69,10.07,11.09618451687747
WS50M,1990,55.5,-8.125,14.84,16.28,14.65,9.79,6.03,7.93,8.64,8.53,9.47,11.46,9.39,11.96,10.75,11.845479995673564
WS50M,1991,55.5,-8.125,12.81,9.12,8.4,10.73,7.33,7.57,7.57,8.08,9.15,10.99,12.62,11.53,9.66,10.64440341936806
WS50M,1992,55.5,-8.125,9.57,13.49,12.65,10.43,9.92,7.2,8.34,9.44,8.86,8.87,12.92,10.97,10.22,11.261470284258962
WS50M,1993,55.5,-8.125,16.92,10.95,11.09,8.26,8.22,7.0,8.97,7.22,8.02,7.81,10.84,12.9,9.85,10.853765391384616
WS50M,1994,55.5,-8.125,13.55,13.2,14.95,10.58,8.64,9.62,7.09,7.37,8.58,9.51,11.0,13.84,10.66,11.746308535244667
WS50M,1995,55.5,-8.125,13.09,13.21,12.36,9.44,8.6,7.27,7.89,7.21,8.29,11.49,10.41,9.55,9.9,10.908860647178448
WS50M,1996,55.5,-8.125,12.19,10.44,8.78,9.29,7.89,8.48,7.47,7.18,8.48,11.75,11.49,9.73,9.43,10.39096524271644
WS50M,1997,55.5,-8.125,8.25,15.5,11.66,7.83,7.51,8.42,7.28,7.85,9.41,8.62,9.42,11.67,9.45,10.41300334503397
WS50M,1998,55.5,-8.125,11.11,13.68,9.67,9.25,6.93,7.82,8.65,9.03,8.34,11.82,11.84,12.96,10.09,11.118222619195002
WS50M,1999,55.5,-8.125,12.34,13.06,11.25,9.97,8.55,7.47,7.47,8.35,9.48,11.35,10.01,12.77,10.17,11.20637502846513
WS50M,2000,55.5,-8.125,11.71,14.66,9.56,9.68,7.41,8.39,6.12,6.61,8.24,12.61,11.15,10.71,9.74,10.732555828638189
WS50M,2001,55.5,-8.125,10.23,10.48,9.91,8.52,6.63,8.27,7.64,7.59,8.89,11.56,10.74,10.53,9.25,10.192622321858648
WS50M,2002,55.5,-8.125,13.41,14.35,11.38,9.19,7.94,9.55,7.19,6.86,7.32,9.24,12.27,9.81,9.88,10.886822544860914
WS50M,2003,55.5,-8.125,12.66,12.35,9.61,7.64,9.59,8.46,7.49,6.92,8.11,9.95,11.91,10.35,9.59,10.567270061256696
WS50M,2004,55.5,-8.125,11.74,10.42,11.54,10.33,7.46,9.18,7.54,7.71,11.09,9.85,10.58,13.32,10.06,11.085165465718704
WS50M,2005,55.5,-8.125,14.73,10.43,9.79,10.1,7.95,7.48,7.24,8.27,10.44,10.93,12.01,10.04,9.95,10.963955902972277
WS50M,2006,55.5,-8.125,10.91,10.04,9.44,9.45,9.39,7.61,7.21,8.26,9.0,9.52,12.74,13.2,9.73,10.721536777479422
WS50M,2007,55.5,-8.125,14.22,10.57,11.7,7.64,8.46,7.24,6.94,8.09,9.0,9.55,10.92,12.47,9.73,10.721536777479422
WS50M,2008,55.5,-8.125,12.98,11.94,12.06,9.34,7.35,8.46,8.26,7.89,8.0,12.41,11.15,10.21,10.0,11.019051158766109
WS50M,2009,55.5,-8.125,12.38,9.64,11.57,8.67,9.73,7.16,7.7,9.27,9.49,9.58,11.93,9.76,9.74,10.732555828638189
WS50M,2010,55.5,-8.125,10.04,7.6,8.76,7.64,7.09,6.42,9.21,7.46,9.47,10.11,10.95,7.59,8.53,9.399250638427487
WS50M,2011,55.5,-8.125,9.22,10.96,8.78,8.53,12.33,7.16,5.98,6.53,11.61,11.6,12.49,14.61,9.98,10.997013056448576
WS50M,2012,55.5,-8.125,13.22,11.03,9.45,8.0,7.77,7.65,7.46,8.04,11.11,7.83,10.26,10.95,9.4,10.35790808924014
WS50M,2013,55.5,-8.125,11.86,9.66,10.53,10.16,9.36,7.21,6.12,8.44,9.36,10.1,10.33,14.82,9.83,10.831727289067082
WS50M,2014,55.5,-8.125,11.52,12.76,11.06,8.35,7.38,5.97,6.84,9.09,6.41,11.09,9.0,12.72,9.35,10.302812833446309
WS50M,1984,55.5,-7.5,13.74,11.06,7.46,9.04,6.04,7.79,6.23,6.82,8.67,10.54,9.88,10.59,8.99,9.90612699173073
